"","CT2","CT3","CT4","CT5","CT6","CT7","CT8","CT9","CT10","CT11","CT12","CT13","CT14","CT15","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","RF11","RF12","RF13","RF14","RF15","seed"
"1",0,0,0.00166666666666671,0.0083333333333333,0.01,0.02,0.0216666666666666,0.0166666666666667,NA,NA,NA,NA,NA,NA,0,0,0.00166666666666671,0.0083333333333333,0.0116666666666667,0.00166666666666671,0.0083333333333333,0.0116666666666667,NA,NA,NA,NA,NA,NA,1
"2",0,0,0,0.0133333333333333,0.0133333333333333,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.00166666666666671,0.005,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,NA,2
"3",0,0.00166666666666671,0.00166666666666671,0.01,0.005,0.0166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00166666666666671,0,0,0.00166666666666671,0.0116666666666667,NA,NA,NA,NA,NA,NA,NA,NA,3
"4",0.005,0.00166666666666671,0,0.0033333333333333,0.00166666666666671,0.01,0.0166666666666667,0.005,0.03,0.0133333333333333,0.0166666666666667,0.0383333333333333,NA,NA,0.005,0.00166666666666671,0,0.00166666666666671,0.00166666666666671,0.00666666666666671,0.0166666666666667,0.005,0.0166666666666667,0.01,0.0083333333333333,0.0216666666666666,NA,NA,4
"5",0.005,0,0.00666666666666671,0.005,0.00666666666666671,0.0216666666666666,0.0166666666666667,0.0133333333333333,NA,0.01,NA,NA,NA,NA,0.0033333333333333,0.00166666666666671,0.005,0.005,0.0083333333333333,0.0133333333333333,0.0133333333333333,0.0083333333333333,NA,0.00666666666666671,NA,NA,NA,NA,5
"6",0,0.0083333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7",0.0033333333333333,0.00166666666666671,0.00166666666666671,0.00166666666666671,0.0083333333333333,0.0083333333333333,0.01,0.015,0.0216666666666666,0.015,NA,NA,0.0216666666666666,NA,0.0033333333333333,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.005,0.01,0.01,0.0116666666666667,0.00666666666666671,0.0083333333333333,NA,NA,0.0133333333333333,NA,7
"8",0.005,0.00166666666666671,0,0.005,0.0166666666666667,0.0133333333333333,0.005,0.0316666666666666,0.015,0.0166666666666667,NA,NA,NA,NA,0.00666666666666671,0.00166666666666671,0.00166666666666671,0,0.0083333333333333,0.0083333333333333,0.005,0.0333333333333333,0.0083333333333333,0.015,NA,NA,NA,NA,8
"9",0,0,0.0033333333333333,0.00166666666666671,0.015,0.0283333333333333,0.0133333333333333,0.0133333333333333,0.0166666666666667,0.0216666666666666,0.045,0.0316666666666666,NA,0.025,0,0,0.0033333333333333,0.00166666666666671,0.005,0.01,0.005,0.01,0.01,0.01,0.02,0.0166666666666667,NA,0.0283333333333333,9
"10",0,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.0033333333333333,0.0033333333333333,0.0183333333333333,0.005,0.0316666666666666,0.0366666666666666,0.0183333333333333,0.0233333333333333,0.0466666666666666,0.03,0,0.00166666666666671,0.00166666666666671,0.005,0.0033333333333333,0.0033333333333333,0.00666666666666671,0.00666666666666671,0.025,0.0183333333333333,0.0116666666666667,0.0233333333333333,0.0316666666666666,0.0216666666666666,10
"11",0,0,0,0.0033333333333333,0.015,0.0133333333333333,0.005,0.0116666666666667,0.015,NA,0.025,NA,0.0216666666666666,0.0233333333333333,0,0,0,0.005,0.00166666666666671,0.0116666666666667,0.00166666666666671,0.0116666666666667,0.00666666666666671,NA,0.01,NA,0.0166666666666667,0.0183333333333333,11
"12",0,0,0,0.0116666666666667,0,0.00166666666666671,0.00166666666666671,0.0233333333333333,0.00666666666666671,0.015,0.0166666666666667,0.02,0.0283333333333333,0.03,0,0,0,0.0116666666666667,0.00166666666666671,0.00166666666666671,0.00166666666666671,0.0083333333333333,0.00666666666666671,0.00666666666666671,0.015,0.01,0.02,0.0183333333333333,12
"13",0,0.0033333333333333,0,0.00166666666666671,0.0083333333333333,0.015,0.00666666666666671,0.015,0.015,0.0166666666666667,NA,NA,NA,0.0283333333333333,0,0.005,0,0.00166666666666671,0,0.0083333333333333,0.0033333333333333,0.0133333333333333,0.0166666666666667,0.0083333333333333,NA,NA,NA,0.0183333333333333,13
"14",0,0,0.0116666666666667,0.0133333333333333,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00166666666666671,0,0.005,0.01,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"15",0.00166666666666671,0.00166666666666671,0.00166666666666671,0.00666666666666671,0.005,0.0083333333333333,0.00166666666666671,NA,NA,0.02,NA,NA,NA,NA,0.00166666666666671,0.0033333333333333,0.00166666666666671,0,0.005,0.0083333333333333,0.00166666666666671,NA,NA,0.0116666666666667,NA,NA,NA,NA,15
"16",0.00166666666666671,0,0.0033333333333333,0,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00166666666666671,0,0.0033333333333333,0.00166666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"17",0.00166666666666671,0.0033333333333333,0.005,NA,0.0083333333333333,NA,NA,0.0083333333333333,NA,0.01,0.01,NA,NA,NA,0.00166666666666671,0.0033333333333333,0,NA,0.01,NA,NA,0.0116666666666667,NA,0.01,0.01,NA,NA,NA,17
"18",0,0.0033333333333333,0,0.01,0.015,0.0116666666666667,0.01,0.00666666666666671,0.0266666666666666,NA,NA,NA,NA,0.0483333333333333,0.00166666666666671,0.0033333333333333,0,0,0.01,0.0116666666666667,0.01,0.0033333333333333,0.0116666666666667,NA,NA,NA,NA,0.0383333333333333,18
"19",0,0.0033333333333333,0.0033333333333333,0.00666666666666671,0.0166666666666667,NA,0.0116666666666667,NA,NA,NA,NA,NA,NA,NA,0,0.0033333333333333,0.005,0.0033333333333333,0.0033333333333333,NA,0.01,NA,NA,NA,NA,NA,NA,NA,19
"20",0,0.00166666666666671,NA,0.0266666666666666,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,0,0.00166666666666671,NA,0.0033333333333333,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,20
"21",0.00166666666666671,0.0033333333333333,0.0033333333333333,0.00166666666666671,0.0183333333333333,0.0033333333333333,0.00666666666666671,0.0166666666666667,0.01,0.0133333333333333,NA,NA,NA,NA,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.00166666666666671,0.01,0.0033333333333333,0.0083333333333333,0.0116666666666667,0.015,0.0116666666666667,NA,NA,NA,NA,21
"22",0,0,0,0.00166666666666671,0.0033333333333333,0.0116666666666667,0.0233333333333333,0.01,0.015,NA,0.0133333333333333,0.04,NA,0.025,0,0,0,0.00166666666666671,0.005,0.00666666666666671,0.0116666666666667,0.0033333333333333,0.0116666666666667,NA,0.0083333333333333,0.025,NA,0.02,22
"23",0,0,0.00166666666666671,0.02,0.0083333333333333,0.005,0.0133333333333333,0.01,NA,NA,NA,NA,NA,NA,0,0,0.00166666666666671,0.00666666666666671,0.0033333333333333,0.005,0.0083333333333333,0.0083333333333333,NA,NA,NA,NA,NA,NA,23
"24",0,0.00166666666666671,0.00166666666666671,0.00666666666666671,0,0.00666666666666671,0,0.0083333333333333,0.02,0.015,0.0166666666666667,0.025,0.0283333333333333,0.015,0,0.0033333333333333,0.00166666666666671,0.0083333333333333,0,0.0033333333333333,0,0.0083333333333333,0.0083333333333333,0.0083333333333333,0.0083333333333333,0.02,0.0233333333333333,0.0166666666666667,24
"25",0.00166666666666671,0.0033333333333333,0.01,0.00166666666666671,0.0233333333333333,0.015,0.0183333333333333,0.0133333333333333,0.025,0.0116666666666667,0.0266666666666666,0.0183333333333333,0.0233333333333333,0.015,0.00166666666666671,0.0033333333333333,0.01,0.005,0.0166666666666667,0.00666666666666671,0.015,0.01,0.0116666666666667,0.00166666666666671,0.025,0.0183333333333333,0.025,0.0166666666666667,25
"26",0,0.00166666666666671,0.00666666666666671,0.0083333333333333,0.0166666666666667,0.015,0.0366666666666666,0.0183333333333333,0.04,0.0216666666666666,0.0283333333333333,0.0183333333333333,0.0316666666666666,0.0316666666666666,0,0.00166666666666671,0.00666666666666671,0.005,0.005,0.0033333333333333,0.0166666666666667,0.0133333333333333,0.02,0.0166666666666667,0.0166666666666667,0.015,0.0133333333333333,0.02,26
"27",0,0.00166666666666671,0.0033333333333333,NA,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00166666666666671,0,NA,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"28",0,0.0033333333333333,0.005,0.015,0.00666666666666671,NA,0.01,0.0183333333333333,0.0283333333333333,0.015,0.0116666666666667,NA,0.0216666666666666,0.0183333333333333,0,0.0033333333333333,0.005,0.00666666666666671,0.0033333333333333,NA,0.0116666666666667,0.0083333333333333,0.025,0.0133333333333333,0.00666666666666671,NA,0.015,0.0216666666666666,28
"29",0.005,0.005,0.00166666666666671,0.01,0.00666666666666671,0.025,0.01,0.025,0.01,NA,NA,0.0266666666666666,NA,NA,0.005,0.00166666666666671,0.00166666666666671,0.01,0.00666666666666671,0.0216666666666666,0.00666666666666671,0.0133333333333333,0.00666666666666671,NA,NA,0.0116666666666667,NA,NA,29
"30",0,0.00166666666666671,0.0083333333333333,0,0.00666666666666671,0.0166666666666667,0.0116666666666667,0.0083333333333333,0.0083333333333333,0.0133333333333333,0.035,0.015,0.0266666666666666,NA,0,0.00166666666666671,0.0083333333333333,0,0.00666666666666671,0.0133333333333333,0.00666666666666671,0.00666666666666671,0.0033333333333333,0.00666666666666671,0.0233333333333333,0.005,0.0233333333333333,NA,30
"31",0,0,0.00166666666666671,0.0033333333333333,0.0083333333333333,0.0166666666666667,0.015,NA,NA,NA,NA,NA,NA,NA,0,0,0.00166666666666671,0.0033333333333333,0.00666666666666671,0.00666666666666671,0.005,NA,NA,NA,NA,NA,NA,NA,31
"32",0,0.00666666666666671,0.00166666666666671,0,0,0.00666666666666671,0.005,0.0133333333333333,0.0083333333333333,0.0183333333333333,0.0116666666666667,0.0133333333333333,0.0183333333333333,0.05,0,0.00666666666666671,0.00166666666666671,0,0,0.0033333333333333,0.0033333333333333,0.0116666666666667,0.00166666666666671,0.0166666666666667,0.0083333333333333,0.015,0.0316666666666666,0.04,32
"33",0,0,0.0033333333333333,0.00166666666666671,0.005,0.0216666666666666,0.0133333333333333,0.02,NA,NA,NA,NA,NA,NA,0,0,0.00166666666666671,0,0.00666666666666671,0.0033333333333333,0.0133333333333333,0.00666666666666671,NA,NA,NA,NA,NA,NA,33
"34",0,0.0033333333333333,0,0.0033333333333333,0.005,0.00666666666666671,0.0033333333333333,0.0133333333333333,0.0116666666666667,0.0166666666666667,NA,NA,0.0216666666666666,0.0166666666666667,0,0.0033333333333333,0,0.0033333333333333,0.005,0.00666666666666671,0.00166666666666671,0.01,0.0116666666666667,0.0133333333333333,NA,NA,0.0133333333333333,0.01,34
